Domingo_semana,region,0,0.0275,0.975
2020-08-09,15,-20.9,-32.3,-8.4
2020-08-09,16,2.2,-5.1,10.5
2020-08-16,1,-13.2,-25.2,-1.9
2020-08-16,2,-15.0,-28.4,-0.7
2020-08-16,3,-23.6,-34.3,-12.1
2020-08-16,4,9.6,-4.3,25.7
2020-08-16,5,3.7,-15.8,25.3
2020-08-16,6,9.2,-4.0,22.1
2020-08-16,7,5.1,-7.3,18.6
2020-08-16,8,50.1,29.4,70.6
2020-08-16,9,1.9,-6.4,9.3
2020-08-16,10,-7.3,-20.6,5.6
2020-08-16,11,0.5,-1.1,1.7
2020-08-16,12,37.1,24.1,48.9
2020-08-16,13,-5.8,-37.9,22.4
2020-08-16,14,0.2,-3.0,4.1
2020-08-16,15,-5.3,-16.2,5.9
2020-08-16,16,20.5,11.8,30.3
2020-08-23,1,-6.1,-15.5,4.2
2020-08-23,2,-1.0,-12.6,15.0
2020-08-23,3,-16.0,-28.3,-6.0
2020-08-23,4,-24.3,-39.7,-8.7
2020-08-23,5,4.5,-14.4,26.2
2020-08-23,6,18.7,4.1,33.3
2020-08-23,7,9.1,-3.7,23.7
2020-08-23,8,23.1,3.3,39.4
2020-08-23,9,11.3,2.6,19.6
2020-08-23,10,2.2,-11.2,14.4
2020-08-23,11,0.7,-1.1,2.4
2020-08-23,12,39.5,24.7,56.6
2020-08-23,13,7.0,-25.8,38.3
2020-08-23,14,3.4,-0.4,8.2
2020-08-23,15,-1.7,-11.3,8.9
2020-08-23,16,9.2,-1.7,20.3
2020-08-30,1,-9.7,-18.0,-1.0
2020-08-30,2,-15.7,-27.0,-3.7
2020-08-30,3,-2.9,-11.8,6.8
2020-08-30,4,-15.5,-27.4,-2.0
2020-08-30,5,-5.9,-25.5,11.6
2020-08-30,6,-1.5,-14.4,11.1
2020-08-30,7,48.2,33.5,63.3
2020-08-30,8,-24.7,-48.3,-3.0
2020-08-30,9,17.3,8.9,27.9
2020-08-30,10,-1.3,-14.1,10.9
2020-08-30,11,0.2,-1.7,2.0
2020-08-30,12,42.1,22.9,57.4
2020-08-30,13,-13.5,-45.6,19.3
2020-08-30,14,8.9,3.8,15.6
2020-08-30,15,-6.9,-16.4,4.0
2020-08-30,16,1.9,-9.9,13.3
2020-09-06,1,-3.7,-11.0,3.6
2020-09-06,2,-13.7,-23.3,-3.8
2020-09-06,3,-0.4,-10.3,9.4
2020-09-06,4,-14.1,-25.9,-2.6
2020-09-06,5,-21.1,-40.0,-1.6
2020-09-06,6,-21.4,-34.3,-6.4
2020-09-06,7,2.0,-14.0,17.2
2020-09-06,8,-38.4,-58.8,-15.8
2020-09-06,9,7.9,-3.9,19.5
2020-09-06,10,3.7,-6.9,16.6
2020-09-06,11,4.3,1.5,7.4
2020-09-06,12,-0.5,-16.6,18.7
2020-09-06,13,-95.2,-125.6,-61.3
2020-09-06,14,7.3,1.1,14.7
2020-09-06,15,-5.0,-14.4,5.6
2020-09-06,16,4.9,-5.6,17.9
2020-09-13,1,-10.7,-17.6,-3.7
2020-09-13,2,-7.3,-16.4,2.7
2020-09-13,3,-4.1,-13.7,5.7
2020-09-13,4,-28.3,-37.7,-17.0
2020-09-13,5,-52.9,-67.8,-38.7
2020-09-13,6,-7.8,-19.1,3.9
2020-09-13,7,-13.1,-29.1,3.4
2020-09-13,8,-22.3,-41.0,-6.4
2020-09-13,9,6.2,-5.1,18.0
2020-09-13,10,16.0,3.1,28.2
2020-09-13,11,8.4,3.4,13.3
2020-09-13,12,4.5,-14.1,21.0
2020-09-13,13,-52.4,-79.2,-25.8
2020-09-13,14,-4.6,-11.4,2.9
2020-09-13,15,-2.7,-10.7,6.9
2020-09-13,16,-24.0,-35.9,-11.8
2020-09-20,1,1.9,-3.7,8.9
2020-09-20,2,7.0,-2.1,15.7
2020-09-20,3,-4.6,-13.5,6.2
2020-09-20,4,5.8,-2.2,16.0
2020-09-20,5,6.3,-9.2,19.6
2020-09-20,6,-8.0,-19.1,2.4
2020-09-20,7,-2.9,-19.4,15.1
2020-09-20,8,17.6,-1.5,36.0
2020-09-20,9,28.7,14.6,44.2
2020-09-20,10,28.3,14.6,43.4
2020-09-20,11,14.2,7.7,21.0
2020-09-20,12,29.3,11.5,46.6
2020-09-20,13,30.1,-3.0,61.9
2020-09-20,14,26.9,18.4,34.3
2020-09-20,15,15.1,5.6,25.0
2020-09-20,16,-4.8,-14.8,4.9
2020-09-27,1,2.2,-4.6,8.6
2020-09-27,2,-2.6,-10.8,6.6
2020-09-27,3,-6.4,-14.6,1.1
2020-09-27,4,-15.3,-25.4,-6.3
2020-09-27,5,-2.6,-15.7,15.0
