Domingo_semana,Indicador,Estimado,Inferior,Superior
2020-05-17,B2,0.31926542121166557,0.0,0.0
2020-05-17,C2,0.0782437876086311,0.0752933764722891,0.0811898912180985
2020-05-17,C3,0.16718458242574144,0.0,0.0
2020-05-17,C4,0.3713826575290701,0.0,0.0
2020-05-17,C5,0.12638957164046613,0.0,0.0
2020-05-17,D1,80.35428571428572,0.0,0.0
2020-05-17,D2,42.04609596023546,0.0,0.0
2020-05-17,D4,50.74369856106413,0.0,0.0
2020-05-24,A1,26.392080592522458,25.439553295518156,27.374991529509582
2020-05-24,A2,1.0333043993601743,1.0126402819827747,1.0539685167375727
2020-05-24,B1,5.476514367677064,0.0,0.0
2020-05-24,B2,0.3590226329956806,0.0,0.0
2020-05-24,C2,0.0913053133009454,0.0882924643931198,0.0943920789047677
