Domingo_semana,Indicador,cod_region,Valor,cod_color
2020-03-29,A1,15,6.849688627979853,3
2020-03-29,A1,16,6.356893056606285,3
2020-03-29,A2,1,2.1929711073713674,4
2020-03-29,A2,2,1.7068960955016927,4
2020-03-29,A2,3,4.000175162544645,4
2020-03-29,A2,4,1.5141447431123385,4
2020-03-29,A2,5,1.31215715425618,4
2020-03-29,A2,6,1.5671140101705527,4
2020-03-29,A2,7,1.5919512403492428,4
2020-03-29,A2,8,1.21766224156057,4
2020-03-29,A2,9,1.17045860062278,4
2020-03-29,A2,10,1.2653256352717241,4
2020-03-29,A2,11,6.898423136164625,4
2020-03-29,A2,12,1.41787086351139,4
2020-03-29,A2,13,1.2267363446905415,4
2020-03-29,A2,14,1.3867332322361314,4
2020-03-29,A2,15,2.5535103920613618,4
2020-03-29,A2,16,1.1258798525793066,4
2020-03-29,B1,1,0.9266962030087955,4
2020-03-29,B1,2,0.9372332478074442,4
2020-03-29,B1,3,0.27508405724471985,4
2020-03-29,B1,4,0.3586396093955034,4
2020-03-29,B1,5,0.6955664924106436,4
2020-03-29,B1,6,0.23164160963675223,4
2020-03-29,B1,7,0.6640943422872485,4
2020-03-29,B1,8,1.1159318941509917,3
2020-03-29,B1,9,1.3140102932214675,3
2020-03-29,B1,10,1.042134075204164,3
2020-03-29,B1,11,0.6057951294071595,4
2020-03-29,B1,12,1.8005116400514523,3
2020-03-29,B1,13,1.2005871631484795,3
2020-03-29,B1,14,1.4309122813810677,3
2020-03-29,B1,15,2.1090567042730783,3
2020-03-29,B1,16,1.8618448041907285,3
2020-03-29,B2,1,0.05181456689307373,3
2020-03-29,B2,2,0.06306098591423695,3
2020-03-29,B2,3,0.060962521654624534,3
2020-03-29,B2,4,0.056039387433272095,3
2020-03-29,B2,5,0.08885559905908404,3
2020-03-29,B2,6,0.05647411461081606,3
2020-03-29,B2,7,0.05375550379455829,3
2020-03-29,B2,8,0.08425274336217155,3
2020-03-29,B2,9,0.25194550009546385,4
2020-03-29,B2,10,0.1841228815123685,4
2020-03-29,B2,11,0.047754456427925765,2
2020-03-29,B2,12,0.39973660052333776,4
2020-03-29,B2,13,0.10825878177999103,4
2020-03-29,B2,14,0.12068948492683947,4
2020-03-29,B2,15,0.0686144650400554,3
2020-03-29,B2,16,0.21977077295722341,4
2020-03-29,C2,1,0.0001665204559535,4
2020-03-29,C2,2,9.88618496431527e-05,4
2020-03-29,C2,3,0.0130808816953215,4
2020-03-29,C2,4,0.0084816000786302,4
2020-03-29,C2,5,0.0117861183377582,4
2020-03-29,C2,6,0.0083498892088129,4
2020-03-29,C2,7,0.0243218586662406,4
2020-03-29,C2,8,0.100612096869153,4
2020-03-29,C2,9,0.0231395980152824,4
2020-03-29,C2,10,0.0053987381488725,4
2020-03-29,C2,11,0.0004118232594286,4
2020-03-29,C2,12,0.000937344206667,4
2020-03-29,C2,13,0.100253222282554,4
2020-03-29,C2,14,0.0022122063683714,4
2020-03-29,C2,15,0.0002125320278357,4
2020-03-29,C2,16,0.0294092940452277,4
2020-03-29,C3,1,0.04285714285714284,4
2020-03-29,C3,2,0.19897959183673472,4
2020-03-29,C3,4,0.0595238095238095,4
2020-03-29,C3,5,0.2829833431874246,4
2020-03-29,C3,7,0.39682539682539697,4
2020-03-29,C3,8,0.7083730094469175,2
2020-03-29,C3,9,0.10033323068589337,4
2020-03-29,C3,10,0.04676870748299322,4
2020-03-29,C3,12,0.032504638218923916,4
2020-03-29,C3,13,0.3872117096784528,4
2020-03-29,C3,14,0.07738095238095234,4
2020-03-29,C3,15,0.04460641399416906,4
2020-03-29,C3,16,0.2522169893598466,4
2020-03-29,C4,1,0.44339164237123413,3
2020-03-29,C4,2,0.21768707482993171,4
2020-03-29,C4,4,0.4027777777777777,3
2020-03-29,C4,5,0.41710395613456824,3
2020-03-29,C4,6,0.38095238095238065,4
2020-03-29,C4,7,0.40164399092970515,3
2020-03-29,C4,8,0.3966848977898276,4
2020-03-29,C4,9,0.3161681855486856,4
2020-03-29,C4,10,0.23735569994336672,4
2020-03-29,C4,12,0.5339086990458064,3
2020-03-29,C4,13,0.3173012781890137,4
2020-03-29,C4,14,0.5113378684807256,3
2020-03-29,C4,15,0.28803449951409155,4
2020-03-29,C4,16,0.48828325869142214,3
2020-03-29,C5,1,0.02721088435374149,4
2020-03-29,C5,2,0.1173469387755103,4
2020-03-29,C5,4,0.15476190476190482,4
2020-03-29,C5,5,0.28309590069794155,4
2020-03-29,C5,7,0.23214285714285718,4
2020-03-29,C5,8,0.34598306949356067,4
2020-03-29,C5,9,0.07854002329676811,4
2020-03-29,C5,10,0.007518796992481201,4
2020-03-29,C5,12,0.1929096359436917,4
2020-03-29,C5,13,0.21735182148500326,4
2020-03-29,C5,14,0.11309523809523808,4
2020-03-29,C5,15,0.05818756073858119,4
2020-03-29,C5,16,0.33128753332834965,4
2020-04-05,A1,1,2.986663860079697,2
2020-04-05,A1,2,3.367762562621593,2
2020-04-05,A1,3,1.0440484020839214,2
2020-04-05,A1,4,0.6501304019770799,1
