Domingo_semana,region,0,0.0275,0.975
2020-05-24,10,21.3,17.6,26.3
2020-05-24,11,0.7,0.1,1.6
2020-05-24,12,4.3,2.7,6.4
2020-05-24,13,4194.8,4139.5,4251.5
2020-05-24,14,9.8,6.7,13.0
2020-05-24,15,27.7,22.1,32.9
2020-05-24,16,29.3,24.6,34.2
2020-05-31,1,115.3,105.6,124.6
2020-05-31,2,186.4,174.4,199.8
2020-05-31,3,23.2,19.1,28.3
2020-05-31,4,67.9,59.6,77.7
2020-05-31,5,281.0,263.2,300.4
2020-05-31,6,106.0,95.5,117.3
2020-05-31,7,131.6,121.9,143.4
2020-05-31,8,104.3,94.8,114.6
2020-05-31,9,42.6,36.9,48.9
2020-05-31,10,22.1,17.3,26.7
2020-05-31,11,0.6,0.0,1.4
2020-05-31,12,5.5,3.5,7.7
2020-05-31,13,3837.5,3777.0,3898.6
2020-05-31,14,10.5,7.6,13.9
2020-05-31,15,37.8,31.3,43.3
2020-05-31,16,38.6,32.7,45.4
2020-06-07,1,109.3,98.3,120.4
2020-06-07,2,227.1,212.8,243.6
2020-06-07,3,30.8,24.8,37.4
2020-06-07,4,73.7,66.6,81.9
2020-06-07,5,258.0,242.2,273.6
2020-06-07,6,160.7,147.6,171.9
2020-06-07,7,143.0,130.7,154.0
2020-06-07,8,160.4,147.3,173.0
2020-06-07,9,40.1,34.9,46.3
2020-06-07,10,27.4,22.1,33.0
2020-06-07,11,0.7,0.1,1.7
2020-06-07,12,15.0,11.2,18.7
2020-06-07,13,3038.3,2984.6,3093.6
2020-06-07,14,14.1,10.5,17.9
2020-06-07,15,38.6,32.6,45.4
2020-06-07,16,41.3,34.9,48.6
2020-06-14,1,92.4,83.1,102.4
2020-06-14,2,239.9,224.0,255.7
2020-06-14,3,36.3,30.9,42.2
2020-06-14,4,74.0,64.6,83.4
2020-06-14,5,262.4,244.7,278.7
2020-06-14,6,244.9,229.4,261.2
2020-06-14,7,155.9,144.5,168.7
2020-06-14,8,204.9,190.2,218.3
2020-06-14,9,29.8,25.4,35.1
2020-06-14,10,34.2,28.1,39.9
2020-06-14,11,1.1,0.3,2.3
2020-06-14,12,14.2,10.9,18.7
2020-06-14,13,2521.7,2474.2,2571.7
2020-06-14,14,10.2,7.4,13.0
2020-06-14,15,40.9,34.9,47.0
2020-06-14,16,41.5,35.4,48.3
2020-06-21,1,81.4,72.7,89.1
2020-06-21,2,236.2,222.0,252.2
2020-06-21,3,34.9,29.4,41.4
2020-06-21,4,83.3,74.7,92.9
2020-06-21,5,232.3,217.4,248.4
2020-06-21,6,226.2,213.4,240.0
2020-06-21,7,134.1,123.3,148.2
2020-06-21,8,171.4,159.3,182.9
2020-06-21,9,31.3,27.0,37.3
2020-06-21,10,37.1,31.4,43.3
2020-06-21,11,1.4,0.4,2.4
2020-06-21,12,11.9,8.6,15.3
2020-06-21,13,1844.3,1803.2,1886.1
2020-06-21,14,8.9,6.1,12.0
2020-06-21,15,48.7,42.3,54.9
2020-06-21,16,31.5,26.5,36.9
2020-06-28,1,84.2,75.2,94.0
2020-06-28,2,234.3,216.7,252.4
2020-06-28,3,41.8,35.9,49.1
2020-06-28,4,85.1,76.4,94.6
2020-06-28,5,213.2,200.5,230.3
2020-06-28,6,185.7,172.2,199.7
2020-06-28,7,119.5,107.1,129.9
2020-06-28,8,138.4,125.6,150.3
2020-06-28,9,27.2,22.3,32.3
2020-06-28,10,49.6,43.2,56.4
2020-06-28,11,1.0,0.3,2.0
2020-06-28,12,7.7,5.6,10.3
2020-06-28,13,1413.5,1377.6,1449.2
2020-06-28,14,6.4,4.3,9.0
2020-06-28,15,60.8,52.4,70.4
2020-06-28,16,40.9,34.1,46.9
2020-07-05,1,70.7,62.5,79.9
2020-07-05,2,180.7,168.8,193.4
2020-07-05,3,46.2,39.4,53.7
2020-07-05,4,109.6,101.0,121.4
2020-07-05,5,180.2,167.3,193.6
2020-07-05,6,150.5,138.4,162.1
2020-07-05,7,110.3,99.3,122.2
2020-07-05,8,137.7,126.8,148.6
2020-07-05,9,21.4,17.7,25.3
2020-07-05,10,59.8,51.1,69.3
2020-07-05,11,1.4,0.4,2.6
2020-07-05,12,10.4,7.7,13.9
2020-07-05,13,1123.2,1085.4,1158.1
2020-07-05,14,8.2,5.6,11.6
2020-07-05,15,90.5,81.5,99.4
2020-07-05,16,48.3,42.2,55.9
2020-07-12,1,70.1,62.3,78.4
2020-07-12,2,146.8,134.3,158.4
2020-07-12,3,56.1,47.7,62.7
2020-07-12,4,114.9,105.0,123.9
2020-07-12,5,179.0,166.6,191.6
2020-07-12,6,123.6,112.3,134.7
2020-07-12,7,108.4,98.0,118.6
2020-07-12,8,160.2,147.8,171.3
2020-07-12,9,25.0,19.9,30.1
2020-07-12,10,69.1,59.6,78.3
2020-07-12,11,1.3,0.4,2.3
2020-07-12,12,9.7,6.7,12.6
2020-07-12,13,857.0,828.7,888.2
2020-07-12,14,8.6,6.0,11.3
2020-07-12,15,106.5,96.8,117.2
2020-07-12,16,34.2,27.8,40.4
2020-07-19,1,83.4,75.4,92.1
2020-07-19,2,127.5,116.3,137.0
2020-07-19,3,91.1,80.8,100.6
2020-07-19,4,123.0,112.0,134.9
2020-07-19,5,167.0,152.9,181.7
2020-07-19,6,93.1,83.6,103.3
2020-07-19,7,104.3,93.9,113.3
2020-07-19,8,165.8,152.9,181.9
2020-07-19,9,37.6,30.8,44.0
2020-07-19,10,99.7,88.7,109.9
2020-07-19,11,1.1,0.3,2.3
2020-07-19,12,15.6,12.1,19.3
2020-07-19,13,734.4,707.3,763.7
2020-07-19,14,6.6,4.4,9.3
2020-07-19,15,105.3,95.7,116.3
2020-07-19,16,28.8,24.2,34.4
2020-07-26,1,72.3,64.7,82.4
2020-07-26,2,128.2,117.0,139.6
2020-07-26,3,112.2,100.7,124.6
2020-07-26,4,123.1,113.3,132.6
2020-07-26,5,151.1,139.6,161.3
2020-07-26,6,104.3,94.4,115.7
2020-07-26,7,82.9,73.0,93.0
2020-07-26,8,150.0,136.3,160.9
2020-07-26,9,34.0,29.0,39.1
2020-07-26,10,107.4,97.4,118.2
2020-07-26,11,1.2,0.4,2.1
2020-07-26,12,24.3,19.3,29.4
2020-07-26,13,654.5,629.4,681.7
2020-07-26,14,6.9,4.5,9.6
2020-07-26,15,85.5,77.3,94.4
2020-07-26,16,26.7,21.8,32.9
2020-08-02,1,63.8,57.1,72.1
2020-08-02,2,113.9,103.4,125.3
2020-08-02,3,117.2,107.6,129.0
2020-08-02,4,117.8,105.1,126.3
2020-08-02,5,172.8,161.5,185.6
2020-08-02,6,102.2,92.6,114.3
2020-08-02,7,97.6,87.8,107.2
2020-08-02,8,175.0,164.1,189.3
2020-08-02,9,32.3,27.3,37.7
2020-08-02,10,92.2,82.4,101.8
2020-08-02,11,1.3,0.4,2.4
2020-08-02,12,37.8,32.1,43.2
2020-08-02,13,572.0,552.8,596.0
2020-08-02,14,7.7,5.1,10.4
2020-08-02,15,85.8,77.5,95.0
2020-08-02,16,30.5,25.2,35.9
2020-08-09,1,64.5,57.0,73.3
2020-08-09,2,96.3,86.8,106.3
2020-08-09,3,89.6,80.1,99.0
2020-08-09,4,113.9,101.8,124.3
2020-08-09,5,179.5,166.4,193.1
2020-08-09,6,85.7,77.5,96.2
2020-08-09,7,84.4,76.3,93.4
2020-08-09,8,183.9,171.5,197.7
2020-08-09,9,38.3,32.2,44.0
2020-08-09,10,82.6,73.9,91.9
2020-08-09,11,1.2,0.3,2.3
2020-08-09,12,54.5,47.2,61.9
2020-08-09,13,508.1,485.9,531.0
2020-08-09,14,6.9,4.5,9.6
2020-08-09,15,64.9,57.1,73.9
2020-08-09,16,32.7,27.4,38.4
2020-08-16,1,51.3,44.6,59.6
2020-08-16,2,81.3,71.1,89.9
2020-08-16,3,66.0,58.4,74.1
2020-08-16,4,123.5,113.3,135.0
2020-08-16,5,183.1,170.1,197.6
2020-08-16,6,94.9,86.4,106.7
2020-08-16,7,89.5,80.0,99.6
2020-08-16,8,234.0,219.8,249.9
2020-08-16,9,40.2,35.1,46.2
2020-08-16,10,75.3,66.8,85.1
2020-08-16,11,1.6,0.7,2.9
2020-08-16,12,91.6,81.1,101.4
2020-08-16,13,502.3,478.8,523.2
2020-08-16,14,7.1,4.6,9.7
2020-08-16,15,59.6,52.7,68.6
2020-08-16,16,53.2,46.2,59.4
2020-08-23,1,45.2,39.4,52.7
2020-08-23,2,80.2,72.8,89.8
2020-08-23,3,50.0,42.7,57.2
2020-08-23,4,99.2,88.8,109.7
2020-08-23,5,187.6,174.1,200.6
2020-08-23,6,113.6,103.0,124.0
2020-08-23,7,98.6,89.8,108.7
2020-08-23,8,257.2,243.5,271.2
2020-08-23,9,51.5,45.1,59.1
2020-08-23,10,77.5,68.8,86.1
2020-08-23,11,2.3,1.0,3.9
2020-08-23,12,131.1,120.1,142.4
2020-08-23,13,509.4,489.1,532.0
2020-08-23,14,10.5,7.8,14.2
2020-08-23,15,57.9,51.3,66.7
2020-08-23,16,62.4,54.6,71.4
2020-08-30,1,35.5,30.1,41.7
2020-08-30,2,64.6,56.1,72.9
2020-08-30,3,47.1,40.8,53.6
2020-08-30,4,83.7,75.1,92.7
2020-08-30,5,181.8,170.6,194.4
2020-08-30,6,112.0,102.1,123.9
2020-08-30,7,146.8,136.3,158.4
2020-08-30,8,232.5,215.9,248.0
2020-08-30,9,68.8,61.4,78.0
2020-08-30,10,76.2,67.4,85.6
2020-08-30,11,2.6,1.3,4.3
2020-08-30,12,173.2,160.9,186.6
2020-08-30,13,495.8,472.1,517.3
2020-08-30,14,19.4,15.6,24.3
2020-08-30,15,51.0,44.5,58.6
2020-08-30,16,64.2,56.8,73.6
2020-09-06,1,31.8,26.5,37.7
2020-09-06,2,50.8,45.4,57.4
2020-09-06,3,46.7,40.1,54.2
2020-09-06,4,69.6,61.1,77.9
2020-09-06,5,160.7,147.3,172.2
2020-09-06,6,90.6,82.3,101.3
2020-09-06,7,148.8,136.8,162.1
2020-09-06,8,194.0,181.3,209.7
2020-09-06,9,76.7,68.3,84.7
2020-09-06,10,80.0,72.1,90.7
2020-09-06,11,6.8,4.6,9.4
2020-09-06,12,172.7,160.0,186.3
2020-09-06,13,400.6,381.8,421.6
2020-09-06,14,26.7,21.7,32.4
2020-09-06,15,46.0,39.6,53.0
2020-09-06,16,69.1,61.0,77.6
2020-09-13,1,21.1,16.6,25.6
2020-09-13,2,43.5,37.7,50.9
2020-09-13,3,42.6,36.4,49.2
2020-09-13,4,41.3,35.2,47.7
2020-09-13,5,107.8,97.8,117.7
2020-09-13,6,82.8,74.2,92.3
2020-09-13,7,135.7,123.2,147.4
2020-09-13,8,171.7,158.1,185.0
2020-09-13,9,82.9,74.6,91.0
2020-09-13,10,95.9,87.0,106.1
2020-09-13,11,15.2,11.3,20.3
2020-09-13,12,177.1,165.2,189.7
2020-09-13,13,348.2,330.1,369.0
2020-09-13,14,22.1,17.6,27.1
2020-09-13,15,43.4,37.7,50.3
2020-09-13,16,45.1,38.5,52.0
2020-09-20,1,23.1,18.3,28.4
2020-09-20,2,50.5,44.0,57.9
2020-09-20,3,38.0,32.5,44.4
2020-09-20,4,47.1,40.3,55.2
2020-09-20,5,114.0,103.5,124.0
2020-09-20,6,74.8,66.3,83.7
2020-09-20,7,132.7,121.8,146.3
