Indicador,Valor,cod_color,cod_region,fecha
A1,29.5214134748271,4,1,2020-07-23
A1,24.5641672740763,4,1,2020-07-24
A1,25.3413903279489,4,1,2020-07-25
A1,31.0889221549064,4,1,2020-07-26
A1,31.6114250482662,4,1,2020-07-27
A1,21.9451215211104,4,1,2020-07-28
A1,22.4741557006372,4,1,2020-07-29
A1,24.5706985602433,4,1,2020-07-30
A1,19.6134523594924,4,1,2020-07-31
A1,21.6969326467645,4,1,2020-08-01
A1,19.0713556076317,4,1,2020-08-02
A1,24.3029158273964,4,1,2020-08-03
A1,23.5256927735237,4,1,2020-08-04
A1,23.5191614873567,4,1,2020-08-05
A1,23.7738816478696,4,1,2020-08-06
A1,20.638864287711,4,1,2020-08-07
A1,20.9066470205579,4,1,2020-08-08
A1,18.0263498209121,4,1,2020-08-09
A1,27.444464473722,4,1,2020-08-10
A1,20.3841441271981,4,1,2020-08-11
A1,25.6157043469628,4,1,2020-08-12
A1,21.4226186277507,4,1,2020-08-13
A1,20.3906754133651,4,1,2020-08-14
A1,19.3391383404786,4,1,2020-08-15
A1,13.852857960201,4,1,2020-08-16
A1,19.3587321989796,4,1,2020-08-17
A1,21.4422124862516,4,1,2020-08-18
A1,18.8166354471188,4,1,2020-08-19
A1,18.287601267592,4,1,2020-08-20
A1,18.5553840004389,4,1,2020-08-21
A1,16.4653724269998,4,1,2020-08-22
A1,15.6750868007932,4,1,2020-08-23
A1,17.2556580532065,4,1,2020-08-24
A1,15.4203666402803,4,1,2020-08-25
A1,19.0844181799657,4,1,2020-08-26
A1,15.94286953364,4,1,2020-08-27
A1,17.7716296603992,4,1,2020-08-28
A1,11.7628463867619,4,1,2020-08-29
A1,10.9725607605552,4,1,2020-08-30
A1,14.6300810140736,4,1,2020-08-31
A1,14.8978637469205,4,1,2020-09-01
A1,12.8013208873144,4,1,2020-09-02
A1,13.3303550668412,4,1,2020-09-03
A1,13.852857960201,4,1,2020-09-04
A1,12.5400694406345,4,1,2020-09-05
A1,9.68589738565678,3,1,2020-09-06
A1,15.1591151936004,4,1,2020-09-07
A1,13.3238237806742,4,1,2020-09-08
A1,13.3368863530082,4,1,2020-09-09
A1,12.2788179939546,4,1,2020-09-10
A1,10.1888064205156,4,1,2020-09-11
A1,8.88254918711612,3,1,2020-09-12
A1,6.79906889984403,3,1,2020-09-13
A1,9.15033191996301,3,1,2020-09-14
A1,9.66630352715578,3,1,2020-09-15
A1,9.41158336664289,3,1,2020-09-16
A1,9.15033191996301,3,1,2020-09-17
A1,7.32157179320381,3,1,2020-09-18
A1,7.06032034652392,3,1,2020-09-19
A1,6.53128616699715,3,1,2020-09-20
A1,10.7113093138753,4,1,2020-09-21
A1,9.93408626000267,3,1,2020-09-22
A1,8.88254918711612,3,1,2020-09-23
A1,8.88908047328312,3,1,2020-09-24
A1,9.41158336664289,3,1,2020-09-25
A1,9.66630352715578,3,1,2020-09-26
A1,8.36657757992335,3,1,2020-09-27
A1,10.4631204395294,4,1,2020-09-28
A1,9.67283481332278,3,1,2020-09-29
A1,10.4631204395294,4,1,2020-09-30
A1,10.2018689928496,4,1,2020-10-01
A1,10.1888064205156,4,1,2020-10-02
A1,9.41158336664289,3,1,2020-10-03
A1,7.31504050703681,3,1,2020-10-04
A1,9.93408626000267,3,1,2020-10-05
A1,9.15033191996301,3,1,2020-10-06
A1,8.36004629375635,3,1,2020-10-07
A1,9.41158336664289,3,1,2020-10-08
A1,8.62129774043624,3,1,2020-10-09
A1,8.62782902660324,3,1,2020-10-10
A1,7.84407468656358,3,1,2020-10-11
A1,9.4050520804759,3,1,2020-10-12
A1,10.4500578671954,4,1,2020-10-13
A1,9.92755497383567,3,1,2020-10-14
A1,9.93408626000267,3,1,2020-10-15
A1,10.7113093138753,4,1,2020-10-16
A1,10.4565891533624,4,1,2020-10-17
A1,8.37310886609035,3,1,2020-10-18
A1,13.0756349063283,4,1,2020-10-19
A1,13.3499489253422,4,1,2020-10-20
A1,11.2403434934021,4,1,2020-10-21
A1,12.8078521734814,4,1,2020-10-22
A1,10.9725607605552,4,1,2020-10-23
A1,15.1591151936004,4,1,2020-10-24
A1,9.4050520804759,3,1,2020-10-25
A1,14.1141094068808,4,1,2020-10-26
A1,11.2403434934021,4,1,2020-10-27
A1,14.3818921397277,4,1,2020-10-28
A1,9.93408626000267,3,1,2020-10-29
A1,10.9790920467222,4,1,2020-10-30
A1,9.4050520804759,3,1,2020-10-31
A1,9.92755497383567,3,1,2020-11-01
A1,14.3753608535607,4,1,2020-11-02
A1,17.5103782137194,4,1,2020-11-03
A1,14.3688295673937,4,1,2020-11-04
A1,16.7200925875127,4,1,2020-11-05
A1,14.6300810140736,4,1,2020-11-06
A1,11.2403434934021,4,1,2020-11-07
A1,10.1953377066826,4,1,2020-11-08
A1,17.5169094998864,4,1,2020-11-09
A1,12.2788179939546,4,1,2020-11-10
A1,12.0175665472748,4,1,2020-11-11
A1,10.7113093138753,4,1,2020-11-12
A1,11.501594940082,4,1,2020-11-13
A1,8.62129774043624,3,1,2020-11-14
A1,9.14380063379601,3,1,2020-11-15
A1,12.2788179939546,4,1,2020-11-16
A1,13.0625723339943,4,1,2020-11-17
A1,10.4631204395294,4,1,2020-11-18
A1,11.2403434934021,4,1,2020-11-19
A1,10.1953377066826,4,1,2020-11-20
A1,10.4565891533624,4,1,2020-11-21
A1,8.88908047328312,3,1,2020-11-22
A1,17.2491267670395,4,1,2020-11-23
A1,13.3303550668412,4,1,2020-11-24
A1,14.1141094068808,4,1,2020-11-25
A1,9.67283481332278,3,1,2020-11-26
A1,10.9725607605552,4,1,2020-11-27
A1,11.2338122072351,4,1,2020-11-28
A1,10.4500578671954,4,1,2020-11-29
A1,14.6366123002406,4,1,2020-11-30
A1,16.1975896941529,4,1,2020-12-01
A1,16.7331551598467,4,1,2020-12-02
A1,14.1141094068808,4,1,2020-12-03
A1,14.6366123002406,4,1,2020-12-04
A1,13.3238237806742,4,1,2020-12-05
A1,12.5466007268015,4,1,2020-12-06
A1,19.0713556076317,4,1,2020-12-07
A1,15.936338247473,4,1,2020-12-08
A1,20.9001157343909,4,1,2020-12-09
