Indicador,Valor,cod_color,fecha
A2,0.95227579021382,3,2020-06-17
A2,0.961719690171923,3,2020-06-18
A2,0.953846625237754,3,2020-06-19
A2,0.952089142135075,3,2020-06-20
A2,0.943452449448704,3,2020-06-21
A2,0.923704539883751,3,2020-06-22
A2,0.920211653642143,3,2020-06-23
A2,0.922407686695275,3,2020-06-24
A2,0.913455552460228,3,2020-06-25
A2,0.905383664835817,3,2020-06-26
A2,0.888677047213971,2,2020-06-27
A2,0.897158659725377,2,2020-06-28
A2,0.879802036309174,2,2020-06-29
A2,0.891805424281351,2,2020-06-30
A2,0.92258739226241,3,2020-07-01
A2,0.911020352702241,3,2020-07-02
A2,0.905794646770103,3,2020-07-03
A2,0.912292686138815,3,2020-07-04
A2,0.91779923347601,3,2020-07-05
A2,0.941509615774706,3,2020-07-06
A2,0.928034040380734,3,2020-07-07
A2,0.892590262356945,2,2020-07-08
A2,0.907951033551388,3,2020-07-09
A2,0.927032888952179,3,2020-07-10
A2,0.925550271552691,3,2020-07-11
A2,0.925501558270352,3,2020-07-12
A2,0.920045472680528,3,2020-07-13
A2,0.925900413196765,3,2020-07-14
A2,0.934381827593057,3,2020-07-15
A2,0.924935871295671,3,2020-07-16
A2,0.924853449746771,3,2020-07-17
A2,0.942023247075944,3,2020-07-18
A2,0.94079789582831,3,2020-07-19
A2,0.958781154377554,3,2020-07-20
A2,0.960200068507623,3,2020-07-21
A2,0.963835570730692,3,2020-07-22
A2,0.994245964059964,3,2020-07-23
A2,0.980888017053239,3,2020-07-24
A2,0.97206350195531,3,2020-07-25
A2,0.969557672162527,3,2020-07-26
A2,0.962266798913517,3,2020-07-27
A2,0.960002832887751,3,2020-07-28
A2,0.958363924347239,3,2020-07-29
A2,0.957641139026672,3,2020-07-30
A2,0.966905000936146,3,2020-07-31
A2,0.989030721201969,3,2020-08-01
A2,1.00167247307765,4,2020-08-02
A2,1.00069906479982,4,2020-08-03
A2,1.01168429569074,4,2020-08-04
A2,1.01513997099051,4,2020-08-05
A2,1.0133624017696,4,2020-08-06
A2,1.01028628318734,4,2020-08-07
A2,0.98127616610352,3,2020-08-08
A2,0.964654167481277,3,2020-08-09
A2,0.970859527430384,3,2020-08-10
A2,0.971273127244108,3,2020-08-11
A2,0.976654250082779,3,2020-08-12
A2,0.966630121346188,3,2020-08-13
A2,0.96900214529759,3,2020-08-14
A2,0.971799204719214,3,2020-08-15
A2,0.980332847262154,3,2020-08-16
A2,0.983054420398376,3,2020-08-17
A2,0.99865962865541,3,2020-08-18
A2,1.00936376397797,4,2020-08-19
A2,1.0355058471789,4,2020-08-20
A2,1.03650122506414,4,2020-08-21
A2,1.03574615252281,4,2020-08-22
A2,1.03965828879545,4,2020-08-23
A2,1.04475736523675,4,2020-08-24
A2,1.0435002350481,4,2020-08-25
A2,1.05098761561304,4,2020-08-26
A2,1.04099130006216,4,2020-08-27
A2,1.05262700144064,4,2020-08-28
A2,1.05242097903708,4,2020-08-29
A2,1.0407134162583,4,2020-08-30
A2,1.03880881095604,4,2020-08-31
A2,1.04237258334782,4,2020-09-01
A2,1.03582927698606,4,2020-09-02
A2,1.03537991781946,4,2020-09-03
A2,1.03321216376367,4,2020-09-04
A2,1.02867401612043,4,2020-09-05
A2,1.02473024016005,4,2020-09-06
A2,1.01776488370985,4,2020-09-07
A2,0.997954970990572,3,2020-09-08
A2,0.98792274999979,3,2020-09-09
A2,0.976211316518735,3,2020-09-10
A2,0.960249021119705,3,2020-09-11
A2,0.959368843530957,3,2020-09-12
A2,0.962972198359254,3,2020-09-13
A2,0.949355010106956,3,2020-09-14
A2,0.950199039573317,3,2020-09-15
A2,0.94074701197978,3,2020-09-16
A2,0.945671030538461,3,2020-09-17
A2,0.930198044850947,3,2020-09-18
A2,0.941383918086382,3,2020-09-19
A2,0.977885363245642,3,2020-09-20
A2,1.01182250139152,4,2020-09-21
A2,1.0199554464488,4,2020-09-22
A2,1.04273481239028,4,2020-09-23
A2,1.05359033563837,4,2020-09-24
A2,1.09215378815032,4,2020-09-25
A2,1.0910794852595,4,2020-09-26
A2,1.05723749373053,4,2020-09-27
A2,1.0432869882684,4,2020-09-28
A2,1.02095409562917,4,2020-09-29
A2,0.99856527072707,3,2020-09-30
A2,1.00025324008999,4,2020-10-01
A2,0.988337012237331,3,2020-10-02
A2,0.989133058393815,3,2020-10-03
A2,0.987823186200916,3,2020-10-04
A2,0.966623885090994,3,2020-10-05
A2,0.986077767083873,3,2020-10-06
A2,0.995457464902651,3,2020-10-07
A2,0.991569494997358,3,2020-10-08
A2,0.989975721467015,3,2020-10-09
A2,1.00276152668981,4,2020-10-10
A2,1.00144762354232,4,2020-10-11
A2,0.973251185669745,3,2020-10-12
A2,0.995477721649179,3,2020-10-13
A2,1.0129873958158,4,2020-10-14
A2,1.01537272877078,4,2020-10-15
A2,1.00965401424879,4,2020-10-16
A2,0.997524915103201,3,2020-10-17
A2,1.00469033952145,4,2020-10-18
A2,1.04153200900007,4,2020-10-19
A2,1.01618468599777,4,2020-10-20
A2,0.993549590121604,3,2020-10-21
A2,0.973303802184525,3,2020-10-22
A2,0.971440308426808,3,2020-10-23
A2,0.974183954910867,3,2020-10-24
A2,0.977412566450488,3,2020-10-25
A2,0.974986033719241,3,2020-10-26
A2,0.988364494323909,3,2020-10-27
A2,1.00683032011627,4,2020-10-28
A2,1.00418716490752,4,2020-10-29
A2,1.0040243984489,4,2020-10-30
A2,1.00268087765879,4,2020-10-31
A2,1.01108303209299,4,2020-11-01
A2,1.02814544423737,4,2020-11-02
A2,1.01825115789408,4,2020-11-03
A2,1.00465394369173,4,2020-11-04
A2,1.01734922260924,4,2020-11-05
A2,1.02194123489991,4,2020-11-06
A2,1.02973164373909,4,2020-11-07
A2,1.02391312596877,4,2020-11-08
A2,1.01725011769776,4,2020-11-09
A2,1.02577601835383,4,2020-11-10
A2,1.02913553012979,4,2020-11-11
A2,1.02304143868982,4,2020-11-12
A2,1.01906825272221,4,2020-11-13
A2,1.01643263399151,4,2020-11-14
A2,1.01369121777896,4,2020-11-15
A2,1.00655946451725,4,2020-11-16
A2,0.996604734443274,3,2020-11-17
A2,1.00157448358042,4,2020-11-18
A2,1.01684948490991,4,2020-11-19
A2,1.03098968901024,4,2020-11-20
A2,1.02788259473348,4,2020-11-21
A2,1.02913477382703,4,2020-11-22
A2,1.04180231174024,4,2020-11-23
A2,1.04880621248674,4,2020-11-24
A2,1.04691874083504,4,2020-11-25
A2,1.04284994932939,4,2020-11-26
A2,1.0332162639287,4,2020-11-27
A2,1.0329358748955,4,2020-11-28
A2,1.02788872999062,4,2020-11-29
A2,1.03233833104789,4,2020-11-30
A2,1.05431982461189,4,2020-12-01
A2,1.07884060900825,4,2020-12-02
A2,1.09716509881539,4,2020-12-03
A2,1.11032785112391,4,2020-12-04
A2,1.1200254529242,4,2020-12-05
A2,1.12035850684776,4,2020-12-06
A2,1.12875354875929,4,2020-12-07
A2,1.09838334017766,4,2020-12-08
A2,1.09937363717404,4,2020-12-09
A2,1.10139860644393,4,2020-12-10
A2,1.10909812541448,4,2020-12-11
A2,1.11834116660315,4,2020-12-12
A2,1.12891682769571,4,2020-12-13
A2,1.13901312909663,4,2020-12-14
A2,1.16687064536993,4,2020-12-15
A2,1.15611399350507,4,2020-12-16
A2,1.13927319414656,4,2020-12-17
A2,1.12678106092219,4,2020-12-18
A2,1.11223299927803,4,2020-12-19
A2,1.10754473338662,4,2020-12-20
A2,1.11607862298975,4,2020-12-21
A2,1.11383868008643,4,2020-12-22
A2,1.11626446297431,4,2020-12-23
A2,1.10731927185779,4,2020-12-24
A2,1.08725880779505,4,2020-12-25
A2,1.11963468387916,4,2020-12-26
A2,1.1505461777451,4,2020-12-27
A2,1.19867597075246,4,2020-12-28
A2,1.22007183197299,4,2020-12-29
A2,1.23203193229465,4,2020-12-30
A2,1.22429918410059,4,2020-12-31
A2,1.21982074395888,4,2021-01-01
A2,1.20957474934788,4,2021-01-02
A2,1.19723659954152,4,2021-01-03
A2,1.20790452261521,4,2021-01-04
A2,1.21620076741753,4,2021-01-05
A2,1.22011983788325,4,2021-01-06
A2,1.23946369092636,4,2021-01-07
A2,1.26360485080064,4,2021-01-08
A2,1.24444940040997,4,2021-01-09
B1,0.0233319337599205,4,2020-03-08
B1,0.0281627746705649,4,2020-03-09
B1,0.0359743472069259,4,2020-03-10
B1,0.0424497297041726,4,2020-03-11
B1,0.0594604567405905,4,2020-03-12
B1,0.0901928276402215,4,2020-03-13
B1,0.1177902911403919,4,2020-03-14
B1,0.1610108997132844,4,2020-03-15
B1,0.2608654091747947,4,2020-03-16
B1,0.380300241901789,4,2020-03-17
B1,0.5238378872574238,4,2020-03-18
B1,0.6536538887498452,4,2020-03-19
B1,0.7626047688622497,4,2020-03-20
B1,0.840977453848767,4,2020-03-21
B1,0.8993586801731497,4,2020-03-22
B1,0.9517270513215176,4,2020-03-23
B1,0.9727463484752789,4,2020-03-24
B1,0.9751617689306008,4,2020-03-25
B1,0.9942795648748528,4,2020-03-26
B1,0.9756242962518328,4,2020-03-27
B1,0.9629818828048272,4,2020-03-28
B1,0.9570718114779752,4,2020-03-29
B1,0.98872923702007,4,2020-03-30
B1,1.0246521923024148,3,2020-03-31
B1,1.0443352994170614,3,2020-04-01
B1,1.0732689529563462,3,2020-04-02
B1,1.149020649789216,3,2020-04-03
B1,1.16783009418598,3,2020-04-04
B1,1.161920022859128,3,2020-04-05
B1,1.223025021186321,3,2020-04-06
B1,1.2853634257034654,3,2020-04-07
B1,1.3749395502487112,3,2020-04-08
B1,1.415487778743375,3,2020-04-09
B1,1.3479587898435168,3,2020-04-10
B1,1.3704170608855548,3,2020-04-11
B1,1.394160130042126,3,2020-04-12
B1,1.4076762062070138,3,2020-04-13
B1,1.4217062016177149,3,2020-04-14
B1,1.4207811469752512,3,2020-04-15
B1,1.469140948006276,3,2020-04-16
B1,1.6173038665742296,3,2020-04-17
B1,1.673064104744965,3,2020-04-18
B1,1.728618775217375,3,2020-04-19
B1,2.078597781616184,3,2020-04-20
B1,2.1494158536892463,3,2020-04-21
B1,2.240225384424444,3,2020-04-22
B1,2.298195475352176,3,2020-04-23
B1,2.365673072327453,3,2020-04-24
B1,2.3678829250844498,3,2020-04-25
B1,2.363309043796712,3,2020-04-26
B1,1.8921478792351445,3,2020-04-27
B1,2.014049524342042,3,2020-04-28
B1,2.1226920529069586,3,2020-04-29
B1,2.342803665888764,3,2020-04-30
