Domingo_semana,Indicador,Estimado,Inferior,Superior
2020-05-17,B2,0.31926542121166557,0.0,0.0
2020-05-17,C2,0.0782437876086311,0.0752933764722891,0.0811898912180985
2020-05-17,C3,0.16718176262597442,0.0,0.0
2020-05-17,C4,0.37133958450857624,0.0,0.0
2020-05-17,C5,0.12638339702877502,0.0,0.0
2020-05-17,D1,80.35428571428572,0.0,0.0
2020-05-17,D2,42.04609596023546,0.0,0.0
2020-05-17,D4,50.74369856106413,0.0,0.0
2020-05-24,A1,26.406624507178982,25.370265968627272,27.42065692535184
2020-05-24,A2,1.033751665089783,1.0132600819873128,1.0542432481922528
2020-05-24,B1,5.474576157949996,0.0,0.0
2020-05-24,B2,0.3590226329956806,0.0,0.0
2020-05-24,C2,0.0913053133009454,0.0882924643931198,0.0943920789047677
2020-05-24,C3,0.20207395143789145,0.0,0.0
